book_id,title,first_publish_year,cover_id,cover_edition_key,author_id
/works/OL27802W,The Mayflower Project,2001,8310549,OL3666332M,/authors/OL26392A
/works/OL14931589W,The Collected Stories of Arthur C. Clarke,2001,379930,OL7878553M,/authors/OL2623461A
/works/OL27785W,Destination Unknown,2001,6981977,OL23275476M,/authors/OL26392A
